nominal;data;curs;cdx
10;3/16/2023;39.9324;Турецкая лира
10;3/15/2023;39.6452;Турецкая лира
10;3/14/2023;39.8116;Турецкая лира
10;3/11/2023;40.0816;Турецкая лира
10;3/10/2023;40.0953;Турецкая лира
10;3/8/2023;39.9308;Турецкая лира
10;3/7/2023;39.9841;Турецкая лира
10;3/4/2023;39.9593;Турецкая лира
10;3/3/2023;39.9704;Турецкая лира
10;3/2/2023;39.8541;Турецкая лира
10;3/1/2023;39.6676;Турецкая лира
10;2/28/2023;39.9669;Турецкая лира
10;2/23/2023;39.6051;Турецкая лира
10;2/22/2023;39.6906;Турецкая лира
10;2/21/2023;39.2740;Турецкая лира
10;2/18/2023;39.6622;Турецкая лира
10;2/17/2023;39.6726;Турецкая лира
10;2/16/2023;39.3894;Турецкая лира
10;2/15/2023;39.2160;Турецкая лира
10;2/14/2023;39.1066;Турецкая лира
10;2/11/2023;38.6619;Турецкая лира
10;2/10/2023;38.7183;Турецкая лира
10;2/9/2023;38.0205;Турецкая лира
10;2/8/2023;37.6564;Турецкая лира
10;2/7/2023;37.5292;Турецкая лира
10;2/4/2023;37.4221;Турецкая лира
10;2/3/2023;37.2430;Турецкая лира
10;2/2/2023;37.2895;Турецкая лира
10;2/1/2023;37.5001;Турецкая лира
10;1/31/2023;37.0131;Турецкая лира
10;1/28/2023;36.8772;Турецкая лира
10;1/27/2023;36.7656;Турецкая лира
10;1/26/2023;36.6982;Турецкая лира
10;1/25/2023;36.5680;Турецкая лира
10;1/24/2023;36.5161;Турецкая лира
10;1/21/2023;36.5416;Турецкая лира
10;1/20/2023;36.6459;Турецкая лира
10;1/19/2023;36.6618;Турецкая лира
10;1/18/2023;36.5528;Турецкая лира
10;1/17/2023;36.3703;Турецкая лира
10;1/14/2023;35.9865;Турецкая лира
10;1/13/2023;36.0999;Турецкая лира
10;1/12/2023;36.7668;Турецкая лира
10;1/11/2023;37.0841;Турецкая лира
10;1/10/2023;37.4601;Турецкая лира
10;12/31/2022;37.5865;Турецкая лира
10;12/30/2022;38.4634;Турецкая лира
10;12/29/2022;38.1462;Турецкая лира
10;12/28/2022;37.4346;Турецкая лира
10;12/27/2022;36.6506;Турецкая лира
10;12/24/2022;36.7861;Турецкая лира
10;12/23/2022;38.6552;Турецкая лира
10;12/22/2022;37.8054;Турецкая лира
10;12/21/2022;37.0033;Турецкая лира
10;12/20/2022;35.5872;Турецкая лира
10;12/17/2022;34.6567;Турецкая лира
10;12/16/2022;34.4902;Турецкая лира
10;12/15/2022;33.9883;Турецкая лира
10;12/14/2022;33.9180;Турецкая лира
10;12/13/2022;33.6778;Турецкая лира
10;12/10/2022;33.4717;Турецкая лира
10;12/9/2022;33.5807;Турецкая лира
10;12/8/2022;33.7807;Турецкая лира
10;12/7/2022;33.7686;Турецкая лира
10;12/6/2022;33.3841;Турецкая лира
10;12/3/2022;33.1604;Турецкая лира
10;12/2/2022;32.8114;Турецкая лира
10;12/1/2022;32.6772;Турецкая лира
10;11/30/2022;32.7938;Турецкая лира
10;11/29/2022;32.6205;Турецкая лира
10;11/26/2022;32.4788;Турецкая лира
10;11/25/2022;32.4258;Турецкая лира
10;11/24/2022;32.4941;Турецкая лира
10;11/23/2022;32.5853;Турецкая лира
10;11/22/2022;32.6351;Турецкая лира
10;11/19/2022;32.4370;Турецкая лира
10;11/18/2022;32.4528;Турецкая лира
10;11/17/2022;32.4398;Турецкая лира
10;11/16/2022;32.4280;Турецкая лира
10;11/15/2022;32.5980;Турецкая лира
10;11/12/2022;32.3822;Турецкая лира
10;11/11/2022;32.9338;Турецкая лира
10;11/10/2022;32.8337;Турецкая лира
10;11/9/2022;32.7834;Турецкая лира
10;11/8/2022;32.9046;Турецкая лира
10;11/4/2022;33.3580;Турецкая лира
10;11/3/2022;33.1056;Турецкая лира
10;11/2/2022;33.0108;Турецкая лира
10;11/1/2022;33.1220;Турецкая лира
10;10/29/2022;33.0744;Турецкая лира
10;10/28/2022;32.9830;Турецкая лира
10;10/27/2022;33.0271;Турецкая лира
10;10/26/2022;32.9749;Турецкая лира
10;10/25/2022;32.8994;Турецкая лира
10;10/22/2022;32.9268;Турецкая лира
10;10/21/2022;33.0959;Турецкая лира
10;10/20/2022;33.1433;Турецкая лира
10;10/19/2022;33.2041;Турецкая лира
10;10/18/2022;33.2485;Турецкая лира
10;10/15/2022;33.9331;Турецкая лира
10;10/14/2022;34.1662;Турецкая лира
10;10/13/2022;34.3176;Турецкая лира
10;10/12/2022;34.2852;Турецкая лира
10;10/11/2022;33.5447;Турецкая лира
10;10/8/2022;32.9720;Турецкая лира
10;10/7/2022;32.4435;Турецкая лира
10;10/6/2022;32.0042;Турецкая лира
10;10/5/2022;31.6825;Турецкая лира
10;10/4/2022;31.0575;Турецкая лира
10;10/1/2022;29.8581;Турецкая лира
10;9/30/2022;31.0292;Турецкая лира
10;9/29/2022;31.6492;Турецкая лира
10;9/28/2022;31.5431;Турецкая лира
10;9/27/2022;31.5438;Турецкая лира
10;9/24/2022;31.6509;Турецкая лира
10;9/23/2022;32.6746;Турецкая лира
10;9/22/2022;33.2704;Турецкая лира
10;9/21/2022;32.8273;Турецкая лира
10;9/20/2022;32.9429;Турецкая лира
10;9/17/2022;32.8776;Турецкая лира
10;9/16/2022;32.6966;Турецкая лира
10;9/15/2022;32.7770;Турецкая лира
10;9/14/2022;32.9406;Турецкая лира
10;9/13/2022;33.1537;Турецкая лира
10;9/10/2022;33.1596;Турецкая лира
10;9/9/2022;33.3514;Турецкая лира
10;9/8/2022;33.5770;Турецкая лира
10;9/7/2022;33.3972;Турецкая лира
10;9/6/2022;33.4316;Турецкая лира
10;9/3/2022;33.1767;Турецкая лира
10;9/2/2022;33.1213;Турецкая лира
10;9/1/2022;33.1324;Турецкая лира
10;8/31/2022;33.2034;Турецкая лира
10;8/30/2022;33.2165;Турецкая лира
10;8/27/2022;33.0851;Турецкая лира
10;8/26/2022;32.9601;Турецкая лира
10;8/25/2022;33.1144;Турецкая лира
10;8/24/2022;33.0643;Турецкая лира
10;8/23/2022;33.0193;Турецкая лира
10;8/20/2022;32.8786;Турецкая лира
10;8/19/2022;33.3886;Турецкая лира
10;8/18/2022;33.8315;Турецкая лира
10;8/17/2022;34.2060;Турецкая лира
10;8/16/2022;34.1867;Турецкая лира
10;8/13/2022;33.9238;Турецкая лира
10;8/12/2022;33.7788;Турецкая лира
10;8/11/2022;33.6828;Турецкая лира
10;8/10/2022;33.6284;Турецкая лира
10;8/9/2022;33.5980;Турецкая лира
10;8/6/2022;33.6298;Турецкая лира
10;8/5/2022;33.5662;Турецкая лира
10;8/4/2022;33.5605;Турецкая лира
10;8/3/2022;33.5307;Турецкая лира
10;8/2/2022;34.6458;Турецкая лира
10;7/30/2022;34.2121;Турецкая лира
10;7/29/2022;33.6590;Турецкая лира
10;7/28/2022;33.7373;Турецкая лира
10;7/27/2022;32.9237;Турецкая лира
10;7/26/2022;32.5955;Турецкая лира
10;7/23/2022;32.5274;Турецкая лира
10;7/22/2022;32.1330;Турецкая лира
10;7/21/2022;31.2383;Турецкая лира
10;7/20/2022;31.7158;Турецкая лира
10;7/19/2022;32.3692;Турецкая лира
10;7/16/2022;33.0964;Турецкая лира
10;7/15/2022;33.4675;Турецкая лира
10;7/14/2022;33.8812;Турецкая лира
10;7/13/2022;34.0676;Турецкая лира
10;7/12/2022;35.4860;Турецкая лира
10;7/9/2022;35.4639;Турецкая лира
10;7/8/2022;36.7166;Турецкая лира
10;7/7/2022;37.1108;Турецкая лира
10;7/6/2022;34.8106;Турецкая лира
10;7/5/2022;32.9252;Турецкая лира
10;7/2/2022;32.2417;Турецкая лира
10;7/1/2022;31.4745;Турецкая лира
10;6/30/2022;30.7553;Турецкая лира
10;6/29/2022;31.7927;Турецкая лира
10;6/28/2022;30.7335;Турецкая лира
10;6/25/2022;30.7116;Турецкая лира
