nominal;data;curs;cdx
10;16.03.2023;39.9324;Турецкаялира
10;15.03.2023;39.6452;Турецкаялира
10;14.03.2023;39.8116;Турецкаялира
10;11.03.2023;40.0816;Турецкаялира
10;10.03.2023;40.0953;Турецкаялира
10;08.03.2023;39.9308;Турецкаялира
10;07.03.2023;39.9841;Турецкаялира
10;04.03.2023;39.9593;Турецкаялира
10;03.03.2023;39.9704;Турецкаялира
10;02.03.2023;39.8541;Турецкаялира
10;01.03.2023;39.6676;Турецкаялира
10;28.02.2023;39.9669;Турецкаялира
10;23.02.2023;39.6051;Турецкаялира
10;22.02.2023;39.6906;Турецкаялира
10;21.02.2023;39.2740;Турецкаялира
10;18.02.2023;39.6622;Турецкаялира
10;17.02.2023;39.6726;Турецкаялира
10;16.02.2023;39.3894;Турецкаялира
10;15.02.2023;39.2160;Турецкаялира
10;14.02.2023;39.1066;Турецкаялира
10;11.02.2023;38.6619;Турецкаялира
10;10.02.2023;38.7183;Турецкаялира
10;09.02.2023;38.0205;Турецкаялира
10;08.02.2023;37.6564;Турецкаялира
10;07.02.2023;37.5292;Турецкаялира
10;04.02.2023;37.4221;Турецкаялира
10;03.02.2023;37.2430;Турецкаялира
10;02.02.2023;37.2895;Турецкаялира
10;01.02.2023;37.5001;Турецкаялира
10;31.01.2023;37.0131;Турецкаялира
10;28.01.2023;36.8772;Турецкаялира
10;27.01.2023;36.7656;Турецкаялира
10;26.01.2023;36.6982;Турецкаялира
10;25.01.2023;36.5680;Турецкаялира
10;24.01.2023;36.5161;Турецкаялира
10;21.01.2023;36.5416;Турецкаялира
10;20.01.2023;36.6459;Турецкаялира
10;19.01.2023;36.6618;Турецкаялира
10;18.01.2023;36.5528;Турецкаялира
10;17.01.2023;36.3703;Турецкаялира
10;14.01.2023;35.9865;Турецкаялира
10;13.01.2023;36.0999;Турецкаялира
10;12.01.2023;36.7668;Турецкаялира
10;11.01.2023;37.0841;Турецкаялира
10;10.01.2023;37.4601;Турецкаялира
10;31.12.2022;37.5865;Турецкаялира
10;30.12.2022;38.4634;Турецкаялира
10;29.12.2022;38.1462;Турецкаялира
10;28.12.2022;37.4346;Турецкаялира
10;27.12.2022;36.6506;Турецкаялира
